condition_status,year,race,bmi,wtgain,counts,condition
No,2021,White,Obesity I 30.0-34.9,Less than 11 pounds,649,fertility_enhancing_drugs
No,2021,White,Obesity I 30.0-34.9,11 to 20 pounds,1174,fertility_enhancing_drugs
No,2021,White,Obesity I 30.0-34.9,21 to 30 pounds,1448,fertility_enhancing_drugs
No,2021,White,Obesity I 30.0-34.9,31 to 40 pounds,1020,fertility_enhancing_drugs
No,2021,White,Obesity I 30.0-34.9,41 to 98 pounds,870,fertility_enhancing_drugs
No,2021,White,Obesity I 30.0-34.9,Unknown or Not Stated,29,fertility_enhancing_drugs
No,2021,White,Obesity II 35.0-39.9,Less than 11 pounds,515,fertility_enhancing_drugs
No,2021,White,Obesity II 35.0-39.9,11 to 20 pounds,655,fertility_enhancing_drugs
No,2021,White,Obesity II 35.0-39.9,21 to 30 pounds,649,fertility_enhancing_drugs
No,2021,White,Obesity II 35.0-39.9,31 to 40 pounds,353,fertility_enhancing_drugs
No,2021,White,Obesity II 35.0-39.9,41 to 98 pounds,341,fertility_enhancing_drugs
No,2021,White,Obesity II 35.0-39.9,Unknown or Not Stated,32,fertility_enhancing_drugs
No,2021,White,Extreme Obesity III > 39.9,Less than 11 pounds,404,fertility_enhancing_drugs
No,2021,White,Extreme Obesity III > 39.9,11 to 20 pounds,345,fertility_enhancing_drugs
No,2021,White,Extreme Obesity III > 39.9,21 to 30 pounds,327,fertility_enhancing_drugs
No,2021,White,Extreme Obesity III > 39.9,31 to 40 pounds,155,fertility_enhancing_drugs
No,2021,White,Extreme Obesity III > 39.9,41 to 98 pounds,188,fertility_enhancing_drugs
No,2021,White,Extreme Obesity III > 39.9,Unknown or Not Stated,28,fertility_enhancing_drugs
No,2021,White,Unknown or Not Stated,11 to 20 pounds,10,fertility_enhancing_drugs
No,2021,White,Unknown or Not Stated,21 to 30 pounds,13,fertility_enhancing_drugs
No,2021,White,Unknown or Not Stated,31 to 40 pounds,20,fertility_enhancing_drugs
No,2021,White,Unknown or Not Stated,Unknown or Not Stated,417,fertility_enhancing_drugs
No,2021,More than one race,Normal 18.5-24.9,11 to 20 pounds,48,fertility_enhancing_drugs
No,2021,More than one race,Normal 18.5-24.9,21 to 30 pounds,170,fertility_enhancing_drugs
No,2021,More than one race,Normal 18.5-24.9,31 to 40 pounds,134,fertility_enhancing_drugs
No,2021,More than one race,Normal 18.5-24.9,41 to 98 pounds,129,fertility_enhancing_drugs
No,2021,More than one race,Overweight 25.0-29.9,Less than 11 pounds,20,fertility_enhancing_drugs
No,2021,More than one race,Overweight 25.0-29.9,11 to 20 pounds,47,fertility_enhancing_drugs
No,2021,More than one race,Overweight 25.0-29.9,21 to 30 pounds,76,fertility_enhancing_drugs
No,2021,More than one race,Overweight 25.0-29.9,31 to 40 pounds,67,fertility_enhancing_drugs
No,2021,More than one race,Overweight 25.0-29.9,41 to 98 pounds,74,fertility_enhancing_drugs
No,2021,More than one race,Obesity I 30.0-34.9,Less than 11 pounds,21,fertility_enhancing_drugs
No,2021,More than one race,Obesity I 30.0-34.9,11 to 20 pounds,39,fertility_enhancing_drugs
No,2021,More than one race,Obesity I 30.0-34.9,21 to 30 pounds,47,fertility_enhancing_drugs
No,2021,More than one race,Obesity I 30.0-34.9,31 to 40 pounds,14,fertility_enhancing_drugs
No,2021,More than one race,Obesity I 30.0-34.9,41 to 98 pounds,30,fertility_enhancing_drugs
No,2021,More than one race,Obesity II 35.0-39.9,Less than 11 pounds,13,fertility_enhancing_drugs
No,2021,More than one race,Obesity II 35.0-39.9,11 to 20 pounds,22,fertility_enhancing_drugs
No,2021,More than one race,Obesity II 35.0-39.9,21 to 30 pounds,15,fertility_enhancing_drugs
No,2021,More than one race,Obesity II 35.0-39.9,31 to 40 pounds,10,fertility_enhancing_drugs
No,2021,More than one race,Obesity II 35.0-39.9,41 to 98 pounds,10,fertility_enhancing_drugs
No,2021,More than one race,Extreme Obesity III > 39.9,Less than 11 pounds,17,fertility_enhancing_drugs
No,2021,More than one race,Extreme Obesity III > 39.9,21 to 30 pounds,11,fertility_enhancing_drugs
No,2021,More than one race,Unknown or Not Stated,Unknown or Not Stated,17,fertility_enhancing_drugs
Unknown or Not Stated,2021,American Indian or Alaska Native,Unknown or Not Stated,Unknown or Not Stated,13,fertility_enhancing_drugs
Unknown or Not Stated,2021,Asian,Normal 18.5-24.9,11 to 20 pounds,29,fertility_enhancing_drugs
Unknown or Not Stated,2021,Asian,Normal 18.5-24.9,21 to 30 pounds,56,fertility_enhancing_drugs
Unknown or Not Stated,2021,Asian,Normal 18.5-24.9,31 to 40 pounds,33,fertility_enhancing_drugs
Unknown or Not Stated,2021,Asian,Normal 18.5-24.9,41 to 98 pounds,28,fertility_enhancing_drugs
Unknown or Not Stated,2021,Asian,Normal 18.5-24.9,Unknown or Not Stated,38,fertility_enhancing_drugs
Unknown or Not Stated,2021,Asian,Overweight 25.0-29.9,11 to 20 pounds,17,fertility_enhancing_drugs
Unknown or Not Stated,2021,Asian,Overweight 25.0-29.9,21 to 30 pounds,26,fertility_enhancing_drugs
Unknown or Not Stated,2021,Asian,Overweight 25.0-29.9,31 to 40 pounds,18,fertility_enhancing_drugs
Unknown or Not Stated,2021,Asian,Overweight 25.0-29.9,Unknown or Not Stated,18,fertility_enhancing_drugs
Unknown or Not Stated,2021,Asian,Obesity I 30.0-34.9,Unknown or Not Stated,10,fertility_enhancing_drugs
Unknown or Not Stated,2021,Asian,Unknown or Not Stated,Unknown or Not Stated,85,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Normal 18.5-24.9,Less than 11 pounds,28,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Normal 18.5-24.9,11 to 20 pounds,33,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Normal 18.5-24.9,21 to 30 pounds,60,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Normal 18.5-24.9,31 to 40 pounds,51,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Normal 18.5-24.9,41 to 98 pounds,41,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Normal 18.5-24.9,Unknown or Not Stated,28,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Overweight 25.0-29.9,Less than 11 pounds,34,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Overweight 25.0-29.9,11 to 20 pounds,41,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Overweight 25.0-29.9,21 to 30 pounds,47,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Overweight 25.0-29.9,31 to 40 pounds,41,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Overweight 25.0-29.9,41 to 98 pounds,38,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Overweight 25.0-29.9,Unknown or Not Stated,23,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Obesity I 30.0-34.9,Less than 11 pounds,17,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Obesity I 30.0-34.9,11 to 20 pounds,22,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Obesity I 30.0-34.9,21 to 30 pounds,30,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Obesity I 30.0-34.9,31 to 40 pounds,17,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Obesity I 30.0-34.9,41 to 98 pounds,11,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Obesity I 30.0-34.9,Unknown or Not Stated,15,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Obesity II 35.0-39.9,Less than 11 pounds,17,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Obesity II 35.0-39.9,11 to 20 pounds,13,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Obesity II 35.0-39.9,21 to 30 pounds,12,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Extreme Obesity III > 39.9,Less than 11 pounds,10,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Extreme Obesity III > 39.9,11 to 20 pounds,17,fertility_enhancing_drugs
Unknown or Not Stated,2021,Black or African American,Unknown or Not Stated,Unknown or Not Stated,303,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Underweight <18.5,11 to 20 pounds,22,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Underweight <18.5,21 to 30 pounds,37,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Underweight <18.5,31 to 40 pounds,38,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Underweight <18.5,41 to 98 pounds,32,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Underweight <18.5,Unknown or Not Stated,21,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Normal 18.5-24.9,Less than 11 pounds,105,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Normal 18.5-24.9,11 to 20 pounds,249,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Normal 18.5-24.9,21 to 30 pounds,549,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Normal 18.5-24.9,31 to 40 pounds,536,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Normal 18.5-24.9,41 to 98 pounds,412,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Normal 18.5-24.9,Unknown or Not Stated,196,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Overweight 25.0-29.9,Less than 11 pounds,117,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Overweight 25.0-29.9,11 to 20 pounds,206,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Overweight 25.0-29.9,21 to 30 pounds,283,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Overweight 25.0-29.9,31 to 40 pounds,277,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Overweight 25.0-29.9,41 to 98 pounds,221,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Overweight 25.0-29.9,Unknown or Not Stated,116,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Obesity I 30.0-34.9,Less than 11 pounds,108,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Obesity I 30.0-34.9,11 to 20 pounds,158,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Obesity I 30.0-34.9,21 to 30 pounds,168,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Obesity I 30.0-34.9,31 to 40 pounds,114,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Obesity I 30.0-34.9,41 to 98 pounds,117,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Obesity I 30.0-34.9,Unknown or Not Stated,48,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Obesity II 35.0-39.9,Less than 11 pounds,73,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Obesity II 35.0-39.9,11 to 20 pounds,106,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Obesity II 35.0-39.9,21 to 30 pounds,80,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Obesity II 35.0-39.9,31 to 40 pounds,39,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Obesity II 35.0-39.9,41 to 98 pounds,47,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Obesity II 35.0-39.9,Unknown or Not Stated,33,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Extreme Obesity III > 39.9,Less than 11 pounds,75,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Extreme Obesity III > 39.9,11 to 20 pounds,59,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Extreme Obesity III > 39.9,21 to 30 pounds,41,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Extreme Obesity III > 39.9,31 to 40 pounds,26,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Extreme Obesity III > 39.9,41 to 98 pounds,23,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Extreme Obesity III > 39.9,Unknown or Not Stated,17,fertility_enhancing_drugs
Unknown or Not Stated,2021,White,Unknown or Not Stated,Unknown or Not Stated,1177,fertility_enhancing_drugs
Unknown or Not Stated,2021,More than one race,Normal 18.5-24.9,21 to 30 pounds,20,fertility_enhancing_drugs
Unknown or Not Stated,2021,More than one race,Normal 18.5-24.9,31 to 40 pounds,17,fertility_enhancing_drugs
Unknown or Not Stated,2021,More than one race,Normal 18.5-24.9,41 to 98 pounds,20,fertility_enhancing_drugs
Unknown or Not Stated,2021,More than one race,Overweight 25.0-29.9,21 to 30 pounds,11,fertility_enhancing_drugs
Unknown or Not Stated,2021,More than one race,Overweight 25.0-29.9,31 to 40 pounds,12,fertility_enhancing_drugs
Unknown or Not Stated,2021,More than one race,Unknown or Not Stated,Unknown or Not Stated,17,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Underweight <18.5,Less than 11 pounds,34,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Underweight <18.5,11 to 20 pounds,93,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Underweight <18.5,21 to 30 pounds,175,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Underweight <18.5,31 to 40 pounds,157,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Underweight <18.5,41 to 98 pounds,211,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Underweight <18.5,Unknown or Not Stated,15,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Normal 18.5-24.9,Less than 11 pounds,636,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Normal 18.5-24.9,11 to 20 pounds,1389,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Normal 18.5-24.9,21 to 30 pounds,2496,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Normal 18.5-24.9,31 to 40 pounds,2381,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Normal 18.5-24.9,41 to 98 pounds,2788,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Normal 18.5-24.9,Unknown or Not Stated,122,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Overweight 25.0-29.9,Less than 11 pounds,1115,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Overweight 25.0-29.9,11 to 20 pounds,1733,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Overweight 25.0-29.9,21 to 30 pounds,2266,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Overweight 25.0-29.9,31 to 40 pounds,1917,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Overweight 25.0-29.9,41 to 98 pounds,2140,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Overweight 25.0-29.9,Unknown or Not Stated,114,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,Less than 11 pounds,1303,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,11 to 20 pounds,1573,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,21 to 30 pounds,1620,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,31 to 40 pounds,1156,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,41 to 98 pounds,1200,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,Unknown or Not Stated,106,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,Less than 11 pounds,1020,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,11 to 20 pounds,942,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,21 to 30 pounds,844,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,31 to 40 pounds,522,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,41 to 98 pounds,540,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,Unknown or Not Stated,80,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,Less than 11 pounds,874,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,11 to 20 pounds,590,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,21 to 30 pounds,525,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,31 to 40 pounds,281,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,41 to 98 pounds,322,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,Unknown or Not Stated,72,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Unknown or Not Stated,Less than 11 pounds,13,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Unknown or Not Stated,21 to 30 pounds,22,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Unknown or Not Stated,31 to 40 pounds,12,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Unknown or Not Stated,41 to 98 pounds,12,fertility_enhancing_drugs
Not Applicable,2021,American Indian or Alaska Native,Unknown or Not Stated,Unknown or Not Stated,900,fertility_enhancing_drugs
Not Applicable,2021,Asian,Underweight <18.5,Less than 11 pounds,196,fertility_enhancing_drugs
Not Applicable,2021,Asian,Underweight <18.5,11 to 20 pounds,1599,fertility_enhancing_drugs
Not Applicable,2021,Asian,Underweight <18.5,21 to 30 pounds,4123,fertility_enhancing_drugs
Not Applicable,2021,Asian,Underweight <18.5,31 to 40 pounds,2959,fertility_enhancing_drugs
Not Applicable,2021,Asian,Underweight <18.5,41 to 98 pounds,1418,fertility_enhancing_drugs
Not Applicable,2021,Asian,Underweight <18.5,Unknown or Not Stated,68,fertility_enhancing_drugs
Not Applicable,2021,Asian,Normal 18.5-24.9,Less than 11 pounds,4282,fertility_enhancing_drugs
Not Applicable,2021,Asian,Normal 18.5-24.9,11 to 20 pounds,20274,fertility_enhancing_drugs
Not Applicable,2021,Asian,Normal 18.5-24.9,21 to 30 pounds,43397,fertility_enhancing_drugs
Not Applicable,2021,Asian,Normal 18.5-24.9,31 to 40 pounds,33512,fertility_enhancing_drugs
Not Applicable,2021,Asian,Normal 18.5-24.9,41 to 98 pounds,16714,fertility_enhancing_drugs
Not Applicable,2021,Asian,Normal 18.5-24.9,Unknown or Not Stated,850,fertility_enhancing_drugs
Not Applicable,2021,Asian,Overweight 25.0-29.9,Less than 11 pounds,5979,fertility_enhancing_drugs
Not Applicable,2021,Asian,Overweight 25.0-29.9,11 to 20 pounds,13566,fertility_enhancing_drugs
Not Applicable,2021,Asian,Overweight 25.0-29.9,21 to 30 pounds,17601,fertility_enhancing_drugs
Not Applicable,2021,Asian,Overweight 25.0-29.9,31 to 40 pounds,11018,fertility_enhancing_drugs
Not Applicable,2021,Asian,Overweight 25.0-29.9,41 to 98 pounds,6298,fertility_enhancing_drugs
Not Applicable,2021,Asian,Overweight 25.0-29.9,Unknown or Not Stated,428,fertility_enhancing_drugs
Not Applicable,2021,Asian,Obesity I 30.0-34.9,Less than 11 pounds,3735,fertility_enhancing_drugs
Not Applicable,2021,Asian,Obesity I 30.0-34.9,11 to 20 pounds,5859,fertility_enhancing_drugs
Not Applicable,2021,Asian,Obesity I 30.0-34.9,21 to 30 pounds,5572,fertility_enhancing_drugs
Not Applicable,2021,Asian,Obesity I 30.0-34.9,31 to 40 pounds,3012,fertility_enhancing_drugs
Not Applicable,2021,Asian,Obesity I 30.0-34.9,41 to 98 pounds,1737,fertility_enhancing_drugs
Not Applicable,2021,Asian,Obesity I 30.0-34.9,Unknown or Not Stated,190,fertility_enhancing_drugs
Not Applicable,2021,Asian,Obesity II 35.0-39.9,Less than 11 pounds,1351,fertility_enhancing_drugs
Not Applicable,2021,Asian,Obesity II 35.0-39.9,11 to 20 pounds,1574,fertility_enhancing_drugs
Not Applicable,2021,Asian,Obesity II 35.0-39.9,21 to 30 pounds,1391,fertility_enhancing_drugs
Not Applicable,2021,Asian,Obesity II 35.0-39.9,31 to 40 pounds,673,fertility_enhancing_drugs
Not Applicable,2021,Asian,Obesity II 35.0-39.9,41 to 98 pounds,411,fertility_enhancing_drugs
Not Applicable,2021,Asian,Obesity II 35.0-39.9,Unknown or Not Stated,57,fertility_enhancing_drugs
Not Applicable,2021,Asian,Extreme Obesity III > 39.9,Less than 11 pounds,574,fertility_enhancing_drugs
Not Applicable,2021,Asian,Extreme Obesity III > 39.9,11 to 20 pounds,542,fertility_enhancing_drugs
Not Applicable,2021,Asian,Extreme Obesity III > 39.9,21 to 30 pounds,388,fertility_enhancing_drugs
Not Applicable,2021,Asian,Extreme Obesity III > 39.9,31 to 40 pounds,185,fertility_enhancing_drugs
Not Applicable,2021,Asian,Extreme Obesity III > 39.9,41 to 98 pounds,146,fertility_enhancing_drugs
Not Applicable,2021,Asian,Extreme Obesity III > 39.9,Unknown or Not Stated,40,fertility_enhancing_drugs
Not Applicable,2021,Asian,Unknown or Not Stated,Less than 11 pounds,46,fertility_enhancing_drugs
Not Applicable,2021,Asian,Unknown or Not Stated,11 to 20 pounds,102,fertility_enhancing_drugs
Not Applicable,2021,Asian,Unknown or Not Stated,21 to 30 pounds,132,fertility_enhancing_drugs
Not Applicable,2021,Asian,Unknown or Not Stated,31 to 40 pounds,108,fertility_enhancing_drugs
Not Applicable,2021,Asian,Unknown or Not Stated,41 to 98 pounds,52,fertility_enhancing_drugs
Not Applicable,2021,Asian,Unknown or Not Stated,Unknown or Not Stated,4110,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Underweight <18.5,Less than 11 pounds,512,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Underweight <18.5,11 to 20 pounds,2148,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Underweight <18.5,21 to 30 pounds,4228,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Underweight <18.5,31 to 40 pounds,3746,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Underweight <18.5,41 to 98 pounds,3806,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Underweight <18.5,Unknown or Not Stated,107,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Normal 18.5-24.9,Less than 11 pounds,9423,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Normal 18.5-24.9,11 to 20 pounds,26325,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Normal 18.5-24.9,21 to 30 pounds,43511,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Normal 18.5-24.9,31 to 40 pounds,38702,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Normal 18.5-24.9,41 to 98 pounds,42273,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Normal 18.5-24.9,Unknown or Not Stated,1213,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Overweight 25.0-29.9,Less than 11 pounds,16059,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Overweight 25.0-29.9,11 to 20 pounds,29718,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Overweight 25.0-29.9,21 to 30 pounds,38147,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Overweight 25.0-29.9,31 to 40 pounds,29372,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Overweight 25.0-29.9,41 to 98 pounds,32595,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Overweight 25.0-29.9,Unknown or Not Stated,1234,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Obesity I 30.0-34.9,Less than 11 pounds,18269,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Obesity I 30.0-34.9,11 to 20 pounds,24386,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Obesity I 30.0-34.9,21 to 30 pounds,25951,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Obesity I 30.0-34.9,31 to 40 pounds,18141,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Obesity I 30.0-34.9,41 to 98 pounds,18422,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Obesity I 30.0-34.9,Unknown or Not Stated,1097,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Obesity II 35.0-39.9,Less than 11 pounds,14321,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Obesity II 35.0-39.9,11 to 20 pounds,14421,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Obesity II 35.0-39.9,21 to 30 pounds,13178,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Obesity II 35.0-39.9,31 to 40 pounds,8264,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Obesity II 35.0-39.9,41 to 98 pounds,8290,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Obesity II 35.0-39.9,Unknown or Not Stated,999,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Extreme Obesity III > 39.9,Less than 11 pounds,15840,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Extreme Obesity III > 39.9,11 to 20 pounds,11946,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Extreme Obesity III > 39.9,21 to 30 pounds,10008,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Extreme Obesity III > 39.9,31 to 40 pounds,5819,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Extreme Obesity III > 39.9,41 to 98 pounds,5954,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Extreme Obesity III > 39.9,Unknown or Not Stated,1748,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Unknown or Not Stated,Less than 11 pounds,203,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Unknown or Not Stated,11 to 20 pounds,237,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Unknown or Not Stated,21 to 30 pounds,259,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Unknown or Not Stated,31 to 40 pounds,163,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Unknown or Not Stated,41 to 98 pounds,189,fertility_enhancing_drugs
Not Applicable,2021,Black or African American,Unknown or Not Stated,Unknown or Not Stated,12959,fertility_enhancing_drugs
Not Applicable,2021,Native Hawaiian or Other Pacific Islander,Underweight <18.5,11 to 20 pounds,26,fertility_enhancing_drugs
Not Applicable,2021,Native Hawaiian or Other Pacific Islander,Underweight <18.5,21 to 30 pounds,59,fertility_enhancing_drugs
Not Applicable,2021,Native Hawaiian or Other Pacific Islander,Underweight <18.5,31 to 40 pounds,43,fertility_enhancing_drugs
Not Applicable,2021,Native Hawaiian or Other Pacific Islander,Underweight <18.5,41 to 98 pounds,45,fertility_enhancing_drugs
Not Applicable,2021,Native Hawaiian or Other Pacific Islander,Normal 18.5-24.9,Less than 11 pounds,267,fertility_enhancing_drugs
Not Applicable,2021,Native Hawaiian or Other Pacific Islander,Normal 18.5-24.9,11 to 20 pounds,478,fertility_enhancing_drugs
Not Applicable,2021,Native Hawaiian or Other Pacific Islander,Normal 18.5-24.9,21 to 30 pounds,825,fertility_enhancing_drugs
Not Applicable,2021,Native Hawaiian or Other Pacific Islander,Normal 18.5-24.9,31 to 40 pounds,647,fertility_enhancing_drugs
