"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Syphilis""","""Syphilis Code""","Births"
NA,"""West Virginia""","""54""","""2021""","""2021""","""Unknown or Not Stated""","""9""",278
NA,"""Wisconsin""","""55""","""2016""","""2016""","""Yes""","""1""",28
NA,"""Wisconsin""","""55""","""2016""","""2016""","""No""","""2""",65903
NA,"""Wisconsin""","""55""","""2016""","""2016""","""Unknown or Not Stated""","""9""",684
NA,"""Wisconsin""","""55""","""2017""","""2017""","""Yes""","""1""",48
NA,"""Wisconsin""","""55""","""2017""","""2017""","""No""","""2""",63774
NA,"""Wisconsin""","""55""","""2017""","""2017""","""Unknown or Not Stated""","""9""",1153
NA,"""Wisconsin""","""55""","""2018""","""2018""","""Yes""","""1""",34
NA,"""Wisconsin""","""55""","""2018""","""2018""","""No""","""2""",63095
NA,"""Wisconsin""","""55""","""2018""","""2018""","""Unknown or Not Stated""","""9""",969
NA,"""Wisconsin""","""55""","""2019""","""2019""","""Yes""","""1""",47
NA,"""Wisconsin""","""55""","""2019""","""2019""","""No""","""2""",62420
NA,"""Wisconsin""","""55""","""2019""","""2019""","""Unknown or Not Stated""","""9""",803
NA,"""Wisconsin""","""55""","""2020""","""2020""","""Yes""","""1""",41
NA,"""Wisconsin""","""55""","""2020""","""2020""","""No""","""2""",59841
NA,"""Wisconsin""","""55""","""2020""","""2020""","""Unknown or Not Stated""","""9""",712
NA,"""Wisconsin""","""55""","""2021""","""2021""","""Yes""","""1""",79
NA,"""Wisconsin""","""55""","""2021""","""2021""","""No""","""2""",61206
NA,"""Wisconsin""","""55""","""2021""","""2021""","""Unknown or Not Stated""","""9""",496
NA,"""Wyoming""","""56""","""2016""","""2016""","""No""","""2""",7382
NA,"""Wyoming""","""56""","""2017""","""2017""","""No""","""2""",6898
NA,"""Wyoming""","""56""","""2018""","""2018""","""No""","""2""",6562
NA,"""Wyoming""","""56""","""2019""","""2019""","""No""","""2""",6563
NA,"""Wyoming""","""56""","""2020""","""2020""","""No""","""2""",6122
NA,"""Wyoming""","""56""","""2021""","""2021""","""No""","""2""",6233
